"screenId","1","Premium","50","45"
"A1","Normal","0"
"A2","Normal","0"
"A3","Normal","0"
"A4","Normal","0"
"A5","Normal","0"
"A6","Normal","0"
"A7","Normal","0"
"A8","Normal","0"
"B1","Normal","0"
"B2","Normal","0"
"B3","Normal","0"
"B4","Normal","0"
"B5","Normal","0"
"B6","Normal","0"
"B7","Normal","0"
"B8","Normal","0"
"C1","Normal","0"
"C2","Normal","0"
"C3","Normal","0"
"C4","Normal","0"
"C5","Normal","0"
"C6","Normal","0"
"C7","Normal","0"
"C8","Normal","0"
"D1","Normal","5"
"D2","Normal","5"
"D3","Normal","5"
"D4","Normal","5"
"D5","Normal","5"
"D6","Normal","5"
"D7","Normal","5"
"D8","Normal","5"
"E1","Normal","5"
"E2","Normal","5"
"E3","Normal","5"
"E4","Normal","5"
"E5","Normal","5"
"E6","Normal","5"
"E7","Normal","5"
"E8","Normal","5"
"F1","Deluxe","10"
"F2","Deluxe","10"
"F3","Deluxe","10"
"F4","Deluxe","10"
"F5","Deluxe","10"
"screenId","2","Standard","40","45"
"A1","Normal","0"
"A2","Normal","0"
"A3","Normal","0"
"A4","Normal","0"
"A5","Normal","0"
"A6","Normal","0"
"A7","Normal","0"
"A8","Normal","0"
"B1","Normal","0"
"B2","Normal","0"
"B3","Normal","0"
"B4","Normal","0"
"B5","Normal","0"
"B6","Normal","0"
"B7","Normal","0"
"B8","Normal","0"
"C1","Normal","0"
"C2","Normal","0"
"C3","Normal","0"
"C4","Normal","0"
"C5","Normal","0"
"C6","Normal","0"
"C7","Normal","0"
"C8","Normal","0"
"D1","Normal","5"
"D2","Normal","5"
"D3","Normal","5"
"D4","Normal","5"
"D5","Normal","5"
"D6","Normal","5"
"D7","Normal","5"
"D8","Normal","5"
"E1","Normal","5"
"E2","Normal","5"
"E3","Normal","5"
"E4","Normal","5"
"E5","Normal","5"
"E6","Normal","5"
"E7","Normal","5"
"E8","Normal","5"
"F1","Deluxe","10"
"F2","Deluxe","10"
"F3","Deluxe","10"
"F4","Deluxe","10"
"F5","Deluxe","10"
"screenId","3","Standard","40","45"
"A1","Normal","0"
"A2","Normal","0"
"A3","Normal","0"
"A4","Normal","0"
"A5","Normal","0"
"A6","Normal","0"
"A7","Normal","0"
"A8","Normal","0"
"B1","Normal","0"
"B2","Normal","0"
"B3","Normal","0"
"B4","Normal","0"
"B5","Normal","0"
"B6","Normal","0"
"B7","Normal","0"
"B8","Normal","0"
"C1","Normal","0"
"C2","Normal","0"
"C3","Normal","0"
"C4","Normal","0"
"C5","Normal","0"
"C6","Normal","0"
"C7","Normal","0"
"C8","Normal","0"
"D1","Normal","5"
"D2","Normal","5"
"D3","Normal","5"
"D4","Normal","5"
"D5","Normal","5"
"D6","Normal","5"
"D7","Normal","5"
"D8","Normal","5"
"E1","Normal","5"
"E2","Normal","5"
"E3","Normal","5"
"E4","Normal","5"
"E5","Normal","5"
"E6","Normal","5"
"E7","Normal","5"
"E8","Normal","5"
"F1","Deluxe","10"
"F2","Deluxe","10"
"F3","Deluxe","10"
"F4","Deluxe","10"
"F5","Deluxe","10"
